a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60
0.15,13.682608673946,13.6811592458387,13.678986883994,13.6760600738531,13.6723470739482,13.6678161153212,13.6624355947683,13.6561742611183,13.6490013938331,13.6408869732923,13.6318018422033
0.152,13.7147643029432,13.7134680134184,13.7114555156561,13.7086959472807,13.7051582057064,13.7008111448189,13.6956237654818,13.6895653991039,13.682605883581,13.6747157309981,13.6658662865564
0.154,13.7470536026733,13.7459091838175,13.7440550604855,13.7414610117179,13.7380965633354,13.7339311819775,13.7289344629636,13.7230763112396,13.7163271147488,13.7086579096365,13.7000405367742
0.156,13.7794780823612,13.7784843473992,13.7767871978197,13.7743570437584,13.7711640293953,13.7671782244399,13.7623698094355,13.7567092541728,13.7501674885732,13.7427160654771,13.7343273148421
0.158,13.8120392359381,13.8111950755832,13.809653584007,13.8073857925447,13.8043624540968,13.8005542321472,13.7959318835957,13.7904664347209,13.7841293496577,13.776892690846,13.7687292709769
0.16,13.8447385436943,13.8440429227324,13.8426558545503,13.840548982194,13.8376936580364,13.8340611304115,13.8296227240567,13.824350013704,13.8182149902299,13.811190218838,13.8032489888242
0.162,13.8775774738202,13.8770294279091,13.8757956261026,13.873848314056,13.8711594347409,13.8677008127727,13.8634443325409,13.8583621095067,13.8524266540968,13.8456110276935,13.8378889902856
0.164,13.9105574838443,13.9101561165146,13.9090744983266,13.9072854688163,13.904761553037,13.9014751436573,13.8973986768545,13.8925048013907,13.8867665403229,13.8801574448685,13.8726517400069
0.166,13.9436800219777,13.9434245018185,13.942494055631,13.9408621084579,13.93850175926,13.9353859608573,13.9314876936576,13.9267801325812,13.9212368066562,13.9148317508241,13.9075396495556
0.168,13.9769465283724,13.976836086391,13.9760558687928,13.9745798780939,13.9723817793161,13.9694350778423,13.9657132910484,13.9611901131444,13.955839572721,13.9496361825579,13.9425550813142
0.17,14.0103584363005,14.010392363443,14.0097614964759,14.0084404076812,14.0064033206104,14.0036242859206,14.0000773509766,13.9957367226739,13.9905769229986,13.9845729368998,13.9777003521122
0.172,14.0439171732622,14.0440948180838,14.0436124866539,14.0424453136258,14.0405680738508,14.03795535626,14.0345817315002,14.0304219128018,14.025450909612,14.01964417359,14.0129777366176
0.174,14.077624162027,14.0779449285018,14.0776103779456,14.0765962002878,14.0748777147392,14.0724300417812,14.0692282688982,14.0652476095484,14.0604635549308,14.054852018158,14.0483894705088
0.176,14.1114808216134,14.1119441670759,14.1117567008702,14.1108946613946,14.1093339055573,14.107050078933,14.10401877965,14.1002157155237,14.0956168540112,14.090198564618,14.0839377534419
0.178,14.1454885682146,14.1460940014215,14.1460529790277,14.1453422813697,14.1439382966579,14.1418171893589,14.1389550622943,14.1353281119919,14.1309127768832,14.1256858779941,14.1196247518323
0.18,14.1796488160708,14.1803958953778,14.1805007302122,14.1799406365835,14.1786925278664,14.1767330814641,14.1740388991742,14.1705866608108,14.1663532706972,14.1613159966914,14.1554526014632
0.182,14.2139629782955,14.2148513099402,14.2151014674617,14.2146912965331,14.2135982298021,14.2117994518907,14.2092720580796,14.2059932062543,14.2019402617422,14.1970909347215,14.1914234099345
0.184,14.248432467658,14.2494617041424,14.2498567000507,14.2495958249552,14.2486570251237,14.2470179869073,14.2446562937938,14.2415495767284,14.2376756573433,14.2330126837964,14.2275392589658
0.186,14.2830586973259,14.2842285358924,14.2847679344288,14.2846557808784,14.2838705297058,14.2823903637206,14.2801933495517,14.2772575863881,14.2735613476494,14.2690832152992,14.2638022065626
0.188,14.3178430815701,14.3191532627656,14.3198366751108,14.31987271962,14.3192403537513,14.3179182517153,14.3158849584166,14.3131190366627,14.3095992073192,14.3053044821415,14.3002142890575
0.19,14.3527870364368,14.3542373427586,14.3550644255213,14.3552481937296,14.354768102845,14.3536033136256,14.3517328445819,14.3491357176971,14.345791097112,14.3416784205159,14.3367775230352
0.192,14.3878919803871,14.3894822350064,14.3904526887972,14.390783753886,14.3904553789523,14.3894472066465,14.3877387246025,14.3853094097144,14.3821388653918,14.3782069515514,14.373493907149
0.194,14.4231593349086,14.4248894004661,14.4260029685518,14.4264809497487,14.4263037813677,14.4254515834866,14.4239043085624,14.4216418843064,14.4186443495504,14.4148919828784,14.4103654238393
0.196,14.4585905250993,14.4604603025698,14.4617167696027,14.4623413307692,14.4623149076165,14.4616180933689,14.4602313011821,14.4581349056568,14.4553093773554,14.451735410111,14.4473940409575
0.198,14.4941869802276,14.496196407849,14.4975955986671,14.4983664469642,14.498490354313,14.4979483829817,14.4967214028706,14.4947902317025,14.4921357682287,14.4887391182513,14.4845817133063
0.2,14.5299501342694,14.5320991865316,14.5336409650266,14.5345578496536,14.534831717979,14.5344440973851,14.5333763107265,14.5316096152372,14.5291253344607,14.5259049830225,14.5219303840987
0.202,14.565881426424,14.5681701131157,14.5698543811631,14.5709170921658,14.5713405958252,14.5711068808741,14.5701977194914,14.5685948049614,14.5662798823646,14.5632348721344,14.5594419863436
0.204,14.6019823016107,14.6044106669203,14.6062373633692,14.6074457305135,14.6080185864981,14.6079383778041,14.607187322459,14.6057475464828,14.6036012133754,14.6007306464885,14.5971184441635
0.206,14.6382542109479,14.6408223326146,14.6427914323342,14.6441453240415,14.6448672907951,14.644940233379,14.6443468123432,14.6430695832712,14.6410911250966,14.6383941613238,14.6349616740472
0.208,14.6746986122152,14.6774066007289,14.6795181137077,14.6810174360484,14.6818883123504,14.6821140944067,14.6816778821089,14.6805626575695,14.6787514122998,14.6762272673111,14.6729735860435
0.21,14.7113169703003,14.7141649681473,14.7164189386427,14.7180636343846,14.7190832582928,14.7194616100227,14.7191822257668,14.7182285112661,14.7165838678797,14.7142318115956,14.7111560849003
0.212,14.7481107576328,14.751098938584,14.7534954443193,14.7552854920288,14.7564537398796,14.7569844323849,14.7568615391356,14.75606888673,14.7545902837668,14.7524096387951,14.7495110711513
0.214,14.7850814546038,14.7882100230443,14.7907491744509,14.7926845876431,14.7940013731053,14.7946842173428,14.7947175205743,14.7940855276113,14.7927724518028,14.7907625919537,14.7880404421559
0.216,14.8222305499744,14.825499740272,14.828181679774,14.8302625061098,14.8317277792897,14.8325626250799,14.8327518716857,14.8322801796102,14.8311321645795,14.8292925134568,14.8267460930936
0.218,14.8595595412736,14.8629696171835,14.8657945185234,14.8680208390507,14.8696345856456,14.8706213207345,14.870966297994,14.8706545912164,14.8696712162447,14.8680012459075,14.8656299179174
0.22,14.8970699351851,14.9006211892902,14.9035892568925,14.9059611853299,14.9077234258276,14.9088619749989,14.9093625095979,14.9092105144208,14.9083914032766,14.9068906329696,14.9046938102691
0.222,14.9347632479263,14.9384560011102,14.9415674694815,14.9440851515419,14.9459959404641,14.9472862646983,14.9479422218014,14.9479497054018,14.9472945252305,14.9459625201778,14.9439396643576
0.224,14.9726410056174,14.9764756065696,14.9797307397338,14.9823943524859,14.9844537776727,14.9858958733514,14.9867071557235,14.9868739251874,14.9863823854573,14.9852187557174,14.9833693758042
0.226,15.0107047446443,15.0146815693948,15.0180806603611,15.0208904116272,15.0230985935611,15.0246924917149,15.0256590388885,15.0259849402963,15.0256567917987,15.0246611911769,15.0229848424571
0.228,15.0489560120136,15.0530754634966,15.056618833759,15.0595749615469,15.0619320527147,15.063677818311,15.0647996057978,15.0652845233571,15.0651195572576,15.0642916822744,15.062787965176
0.23,15.0873963657011,15.0916588733459,15.0953468724127,15.0984496443811,15.1009558286711,15.1028535599409,15.1041305984861,15.1047744537097,15.1047725006485,15.1041120895591,15.1027806485903
0.232,15.1260273749953,15.1304333943434,15.1342663992952,15.1375161122495,15.1401716043832,15.1422214321854,15.1436537670611,15.1444565179884,15.1446174472265,15.1441242790911,15.1429648018317
0.234,15.1648506208352,15.1694006331821,15.1733790482572,15.1767760276757,15.1795810726714,15.1817831598917,15.1833708702292,15.1843325106886,15.1846562292994,15.1843301231004,15.1833423392439
0.236,15.2038676961435,15.2085622082043,15.2126864644102,15.2162310639986,15.2191859366666,15.2215404776505,15.2232836758084,15.2244042347193,15.2248906868207,15.2247315006254,15.2239151810695
0.238,15.2430802061555,15.2479197497533,15.2521903045033,15.2558829057762,15.2589879102431,15.2614951302609,15.2633939612286,15.26467350194,15.2653226679686,15.2653302981345,15.2646852541176
0.24,15.2824897687444,15.2874749005211,15.2918922372939,15.2957332491829,15.2989887184446,15.3016488731867,15.3037035140202,15.3051421336862,15.3059540297085,15.3061284101303,15.3056544924121
0.242,15.3220980147439,15.3272293158904,15.3317939439138,15.3357838023998,15.3391900979011,15.3420034730035,15.3442141322936,15.3458119612822,15.3467866383427,15.3471277397387,15.3468248378223
