a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65,T_70
0.208,12.2054129015468,11.1556911606231,10.2293426743509,9.40881347448623,8.67943053539544,8.02887182429157,7.44674353654482,6.9242410076515,6.45387532633386,6.02925182017213,5.64488971320504,5.29607462891346,4.97873742433729
0.21,12.2459772692497,11.1937747637757,10.2651875497715,9.44263206576067,8.71140996576502,8.0591774669867,7.47552201106431,6.95162270477017,6.47997654446562,6.05417657983641,5.66873130376865,5.31891693177034,5.0006560486848
0.212,12.2866128899397,11.2319320043311,10.301108084613,9.47652803507991,8.74346823844525,8.08956320278608,7.50438165020547,6.97908648743557,6.50616064260247,6.07918490784097,5.69265706207938,5.34184392741847,5.02265982886845
0.214,12.327324115718,11.2701670092131,10.3371082050728,9.51050512932489,8.7756089398181,8.12003247417242,7.53332576724669,7.00663555277496,6.53243071335371,6.10427980267786,5.71666990183987,5.36485845316191,5.04475153336392
0.216,12.3681152142917,11.3084838290384,10.3731917683295,9.5445670329516,8.80783559982948,8.15058867265287,7.56235762948843,7.03427305652878,6.55878981217502,6.12946422960304,5.74077270715513,5.38796332009851,5.06693390761299
0.218,12.4089903734595,11.3468864422786,10.4093625664161,9.57871737160726,8.84015169537671,8.18123514194218,7.59148046125366,7.06200211588747,6.58524096005866,6.1547411231951,5.76496833497341,5.41116131545508,5.08920967626411
0.22,12.4499537053827,11.3853787592234,10.4456243299113,9.61295971557992,8.8725606535422,8.21197518100374,7.62069744675671,7.08982581220623,6.61178714611041,6.18011338980881,5.78925961742926,5.43445520483171,5.11158154532841
0.222,12.491009250655,11.423964625761,10.4819807314619,9.64729758309165,8.90506585468279,8.24281204695716,7.65001173284851,7.1177471936054,6.63843133002034,6.20558390993007,5.81364936409507,5.45784773436093,5.13405220425662
0.224,12.5321609821829,11.4626478269834,10.5184353891451,9.68173444344455,8.93767063538344,8.27374895786045,7.67942643164605,7.14576927746343,6.66517644443414,6.23115554043867,5.83814036414703,5.48134163278754,5.15662432794231
0.226,12.5734128088878,11.501432090629,10.5549918696804,9.71627372002866,8.97037829128339,8.30478909537467,7.70894462305291,7.17389505280922,6.69202539723112,6.25683111678456,5.8627353884509,5.50493961347406,5.17930057865632
0.228,12.61476857924,11.5403210903707,10.5916536915009,9.75091879319982,9.00319207978264,8.33593560731786,7.73856935717773,7.20212748261991,6.71898107371479,6.28261345508314,5.88743719157285,5.52864437633685,5.20208360791691
0.23,12.6562320846359,11.5793184489604,10.6284243276912,9.78567300303535,9.03611522263579,8.36719161011522,7.76830365665667,7.23046950603008,6.74604633872148,6.30850535413481,5.91224851372024,5.55245860971742,5.22497605830015
0.232,12.6978070626253,11.6184277412364,10.6653072088003,9.82053965197474,9.06915090843988,8.39856019115157,7.79815051888584,7.25892404045771,6.77322403865212,6.33450959737353,5.93717208261679,5.57638499219326,5.24798056519453
0.234,12.7394971999997,11.6576524970031,10.7023057255372,9.85552200735209,9.10230229502284,8.43004441103214,7.82811291816914,7.28749398365218,6.80051700343207,6.36062895474892,5.96221061531659,5.60042619433226,5.27109975850369
0.236,12.7813061357477,11.6969962037891,10.7394232313552,9.89062330382679,9.13557251173817,8.46164730575708,7.85819380778664,7.316182215669,6.82792804840343,6.38686618454632,5.98736681996087,5.62458488039458,5.29433626430091
0.238,12.8232374638872,11.7364623094922,10.7766630449319,9.92584674571829,9.16896466167147,8.49337188881497,7.88839612198842,7.34499160077594,6.85545997615418,6.41322403514862,6.0126433974814,5.64886370998558,5.31769270643883
0.24,12.8652947361787,11.7760542249171,10.8140284525513,9.96119550925068,9.20248182376421,8.52522115320015,7.91872277791829,7.37392498929478,6.88311557828823,6.4397052467439,6.03804304325415,5.67326533966315,5.34117170811766
0.242,12.9074814647295,11.8157753262109,10.8515227103922,9.99667274471225,9.23612705485946,8.55719807335838,7.94917667747188,7.40298521938262,6.91089763714,6.46631255298224,6.06356844870648,5.69779242450279,5.36477589341487
0.244,12.9498011244928,11.8556289572046,10.8891490467304,10.0322815785351,9.26990339167427,8.58930560706538,7.97976070909295,7.43217511875676,6.93880892743729,6.4930486825853,6.08922230288125,5.72244761962347,5.38850788877941
0.246,12.9922571556685,11.8956184316639,10.9269106640582,10.0680251152993,9.30381385270303,8.62154669724198,8.01047774951183,7.46149750636649,6.96685221791575,6.51991636091165,6.11500729396075,5.74723358167703,5.41237032449317
0.248,13.0348529660107,11.9357470354547,10.9648107411261,10.1039064396666,9.337861440056,8.65392427371001,8.04133066542954,7.49095519401539,6.99503027288804,6.54691831148109,6.14092611075338,5.77215297030414,5.4363658361023
0.25,13.0775919330483,11.9760180286298,11.0028524349118,10.1399286182463,9.3720491412367,8.6864412548924,8.0723223151511,7.52055098793715,7.02334585377095,6.57405725746067,6.16698144414581,5.79720844955911,5.46049706582093
0.252,13.120477406222,12.0164346474391,11.0410388825198,10.1760947013996,9.40637993086201,8.71910054946088,8.103455550171,7.55028769032811,7.0518017205731,6.60133592311518,6.19317598852326,5.82240268930636,5.48476666390969
0.254,13.1635127089438,12.057000106269,11.0793732030171,10.2124077249836,9.44085677232824,8.75190505793462,8.13473321671416,7.58016810083921,7.08040063334605,6.62875703522478,6.21951244316025,5.84773836659059,5.5091772900312
