a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65
0.164,12.4848463917327,12.491073496614,12.4962799223492,12.5004238277202,12.503461780309,12.5053490644412,12.5060399936878,12.505488226104,12.5036470803754,12.5004698510581,12.4959101211172,12.4899220700037
0.166,12.5147001794352,12.521205664011,12.5266954732067,12.5311287716485,12.5344631318889,12.5366548378142,12.5376591923407,12.537430827619,12.5359240159684,12.533092979773,12.5288921985994,12.5232767118241
0.168,12.5446828030085,12.551466804092,12.5572398972959,12.5619622397622,12.5655923958196,12.5680876359973,12.5694042400611,12.5694978023363,12.5683235375832,12.5658365857083,12.5619923136161,12.5567466125429
0.17,12.5747955944308,12.5818583269394,12.587914689969,12.5929258203797,12.5968512616045,12.5996492584041,12.6012770553841,12.6016911975803,12.6008478314258,12.5987030044256,12.5952129618937,12.5903344391431
0.172,12.6050398788269,12.6123816332895,12.6187213344036,12.6240210864594,12.6282413998232,12.6313414815624,12.6332795295785,12.6340130285949,12.6334990463568,12.6316945284139,12.6285565898877,12.6240428026591
0.174,12.6354169755052,12.6430381157277,12.649661302977,12.6552495971729,12.6597644639244,12.6631660611483,12.6654135289469,12.666465281132,12.6662792967944,12.664813410333,12.6620255983899,12.6578742621746
0.176,12.6659281989323,12.6738291598134,12.6807360585569,12.6866128993807,12.691422091907,12.6951247338936,12.69768089698,12.6990499138764,12.6991906654328,12.6980618660479,12.6956223459051,12.6918313285649
0.178,12.6965748596527,12.7047561451381,12.7119470557155,12.7181125290193,12.7232159078987,12.7272192193754,12.7300834563785,12.73176886072,12.7322352057905,12.7314420774742,12.7293491518148,12.7259164680019
0.18,12.7273582651558,12.7358204463225,12.7432957418725,12.7497500124068,12.7551475236405,12.7594512216987,12.7626230109517,12.7646240328971,12.7654149446019,12.764956195247,12.7632082993446,12.7601321052415
0.182,12.7582797206948,12.7670234339579,12.7747835583729,12.7815268674717,12.7872185398849,12.7918224310786,12.7953013474027,12.7976173209905,12.7987318840646,12.7986063412278,12.7972020383509,12.7944806267097
0.184,12.7893405300621,12.7983664754963,12.8064119415047,12.8134446049137,12.8194305477125,12.8243345253317,12.82812023701,12.8307505968206,12.8321880039527,12.8323946108615,12.8313325879401,12.8289643834028
0.186,12.8205419963246,12.8298509360926,12.8381823234613,12.8455047292993,12.8517851297763,12.856989171282,12.8610814372115,12.8640257152244,12.8657852636078,12.8663230753958,12.8656021389333,12.8635856936153
0.188,12.8518854225206,12.8614781794025,12.8700961332527,12.8777087400982,12.8842838614766,12.8897880260889,12.8941866931002,12.8974445157329,12.8995256038148,12.9003937839713,12.9000128561881,12.8983468455097
0.19,12.883372112323,12.8932495683413,12.9021547975694,12.910058132665,12.9169283120733,12.922732738503,12.9274377388372,12.9310088241568,12.9334109485732,12.9346087655947,12.9345668807881,12.933250099538
0.192,12.9150033706704,12.9251664658034,12.9343597416025,12.9425543991707,12.9497200457395,12.9558249500548,12.9608362989881,12.9647204540834,12.9674432067703,12.9689700310012,12.9692663321097,12.9682976907276
0.194,12.9467805043693,12.9572302353492,12.9667123898241,12.9751990294868,12.9826606225614,12.9890662961816,12.9943840897894,12.9985812082954,13.0016242737643,13.0034795744162,13.0041133097758,13.0034918308403
0.196,12.9787048226681,12.9894422418589,12.9992141667296,13.0079935120266,13.0157515994883,13.0224584072971,13.0280828203491,13.0325928801146,13.0359560328834,13.0381393752221,13.0391098955031,13.0388347104146
0.198,13.0107776378078,13.0218038521569,13.0318664975464,13.0409393345462,13.048994531236,13.0560029098079,13.0619341937872,13.0667572546763,13.070440356847,13.0729513995382,13.0742581548532,13.0743285006983
0.2,13.0430002655478,13.0543164356097,13.0646708089098,13.0740379849083,13.0823909711479,13.0897014270808,13.0959399083188,13.1010761101412,13.1050791091155,13.1079176017194,13.1095601388916,13.1099753554809
0.202,13.0753740256716,13.086981364698,13.0976285295102,13.1072909518122,13.1159424720158,13.1235555803643,13.1301016582869,13.1355512188472,13.1398741451723,13.1430399257799,13.145017885763,13.1457774128315
0.204,13.1079002424723,13.1198000155654,13.1307410907125,13.1406997254913,13.1496505868644,13.1575669896686,13.1644211351456,13.1701843484062,13.1748273137442,13.1783203067464,13.1806334221889,13.1817367967498
0.206,13.14058024522,13.1527737685462,13.1640099271504,13.1742657983817,13.1835168697015,13.1917372746052,13.1989000283985,13.2049772627505,13.2099404579643,13.2137606719468,13.2164087648911,13.2178556187356
0.208,13.1734153686122,13.1859040086725,13.1974364772974,13.2079906657635,13.2175428762369,13.2260680551909,13.2335400264964,13.2399317231311,13.2452154164807,13.2493629422385,13.2523459219484,13.254135979283
0.21,13.2064069532091,13.2191921261636,13.2310221840157,13.2418758263762,13.2517301645711,13.2605609526183,13.2683428176951,13.2750494890728,13.2806540245154,13.2851290331801,13.2884468940907,13.2905799693044
0.212,13.2395563458537,13.2526395168979,13.2647684950858,13.2759227830115,13.2860802958584,13.2952175899938,13.3033100908782,13.3103323192874,13.3162581148774,13.3210608561516,13.3247136759329,13.3271896714884
0.214,13.2728649000802,13.2862475828696,13.2986768637171,13.3101330430841,13.3205948349427,13.3300395930478,13.338443536346,13.34578197255,13.3520295189323,13.3571603194249,13.3611482571563,13.3639671615982
0.216,13.3063339765085,13.32001773263,13.3327487490412,13.3445081191818,13.3552753509723,13.3650285908173,13.373744846574,13.3814002085389,13.3879700675314,13.3934293291902,13.3977526236375,13.4009145097114
0.218,13.3399649432286,13.3539513817163,13.3669856165894,13.3790495295982,13.3901234179909,13.4001862163031,13.4092157169421,13.4171887886433,13.4240815919046,13.4298697905396,13.4345287585307,13.4380337814081
0.22,13.3737591761744,13.3880499530678,13.4013889387564,13.4137587988472,13.4251406155098,13.4355141071047,13.4448578464371,13.4531494767401,13.4603659245174,13.4664836084117,13.4714786433061,13.4753270389099
0.222,13.407718059488,13.4223148774301,13.4359601952491,13.4486374581618,13.4603285290613,13.4710139060328,13.4806729383309,13.489284039943,13.4968248998965,13.5032726884993,13.5086042587469,13.5127963421716
0.224,13.4418429858749,13.45674759375,13.4707008735238,13.4836870459786,13.4956887507343,13.5066872617022,13.516662700835,13.5255942493241,13.5334603554249,13.5402389381241,13.5459075859083,13.5504437499319
0.226,13.476135356952,13.4913495495593,13.5056124692117,13.5189091084079,13.5312228796948,13.5425358291061,13.5528288477341,13.5620818806121,13.5702741321091,13.5773842670786,13.5833906070405,13.5882713207223
0.228,13.5105965835878,13.5261222013512,13.5406964865339,13.5543051996922,13.5669325226912,13.5785612701732,13.5891730989997,13.5987487148667,13.6072680753209,13.6147105884395,13.621055306479,13.6262811138405
0.23,13.5452280862356,13.5610670149474,13.5759544387063,13.5898768826522,13.6028192945456,13.6147652543091,13.6256971813851,13.635596539133,13.6444440355141,13.6522198193532,13.6589036715038,13.6644751902879
0.232,13.5800312952615,13.5961854658588,13.611387848336,13.625625729123,13.6388848186336,13.6511494589225,13.662402829004,13.6726271470755,13.6818038689199,13.6899138817961,13.6969376931697,13.7028556136754
0.234,13.6150076512661,13.6314790396383,13.6469982478089,13.6615533203796,13.6751307273512,13.6877155699386,13.6992917838923,13.7098423395938,13.7193494382202,13.727794703311,13.73515936711,13.741424451099
0.236,13.6501586054018,13.6669492322284,13.6827871796708,13.6976612475542,13.7115586625721,13.7244652822991,13.7363657965563,13.7472439254222,13.7570826132031,13.7658642177215,13.7735706943153,13.7801837739871
0.238,13.6854856196851,13.7025975503029,13.7187561970006,13.7339511120447,13.7481702760947,13.7614003004513,13.7736266265071,13.7848337217129,13.7950052713989,13.8041243658264,13.8121736818891,13.8191356589221
0.24,13.720990167305,13.7384255116034,13.7549068637779,13.7704245259161,13.7849672300801,13.7985223388264,13.8110760427818,13.8226135546054,13.8331192987007,13.8425770960745,13.8509703437817,13.8582821884376
0.242,13.7566737329284,13.7744346452712,13.7912407552445,13.8070831122947,13.8219511974817,13.8358331223079,13.8487158244549,13.8605852597822,13.8714265899691,13.8812243652222,13.8899627015045,13.8976254517925
0.244,13.7925378130013,13.8106264921757,13.8277594582617,13.8439285057562,13.859123862468,13.8733343866907,13.8865477611373,13.8987506830121,13.9099290496229,13.9200681389748,13.9291527848254,13.9371675457254
0.246,13.8285839160483,13.8470026052384,13.864464571662,13.8809623527082,13.8964869208378,13.9110278791332,13.9245736534669,13.9371116806829,13.9486285922163,13.9591103926127,13.9685426324472,13.9769105751879
0.248,13.8648135629686,13.883564549754,13.9013577065971,13.9181863117675,13.9340420804293,13.9489153586006,13.9627953135899,13.9756701203226,13.9875271430046,13.9983531116035,14.0081342926699,14.0168566540611
0.25,13.9012282873311,13.9203139037095,13.9384404868829,13.9556020541332,13.971791061524,13.9869985963021,14.0012145656339,14.0144278811122,14.0266266384983,14.0377982922015,14.0479298240388,14.057007905855
0.252,13.9378296356668,13.9572522580994,13.9757145493402,13.993211263955,14.0097355972453,14.0252793761217,14.0398332461739,14.053386854389,14.0659290270073,14.0774479420354,14.0879312959783,14.0973664643921
0.254,13.9746191677604,13.9943812172403,14.0131815441337,14.0310156386989,14.0478774339523,14.0637594950442,14.0786532046915,14.0925489441419,14.1054362691756,14.1173040806849,14.1281407894136,14.137934474477
0.256,14.0115984569403,14.0317023990826,14.0508431351078,14.069016889509,14.0862183316307,14.1024407635749,14.117676304028,14.1319160675007,14.1451503385079,14.1573687402476,14.1685603973814,14.1787140925534
0.258,14.0487690903687,14.0692174355223,14.0887010001213,14.1072167415671,14.1247600642784,14.141325006156,14.1569044208322,14.1714901552171,14.1850732218874,14.1976439658969,14.2091922256289,14.2197074873475
0.26,14.0861326693298,14.1069279727099,14.1267568313794,14.1456169344497,14.1635044202901,14.1804140615791,14.1963394460036,14.2112731521413,14.225206920088,14.2381318164311,14.2500383932041,14.2609168405022
0.262,14.1236908095192,14.1448356713607,14.1650123357658,14.1842192224832,14.2024532028378,14.2197097833936,14.2359832851308,14.2512670176924,14.2655534482793,14.2788343648157,14.2911010330371,14.3023443471994
0.264,14.161445141332,14.1829422070624,14.2034692351723,14.2230253750978,14.2416082302498,14.2592140403126,14.2758378589266,14.2914737263249,14.3061148365261,14.3197536987189,14.3323822925137,14.3439922167743
0.266,14.199397310152,14.2212492705845,14.2421292668289,14.26203717718,14.2809713363877,14.2989287166169,14.3159051036598,14.3318952679908,14.3468931302828,14.3608919210401,14.3738843340409,14.3858626733208
0.268,14.2375489766411,14.2597585681866,14.2809941836333,14.3012564294241,14.3205443710223,14.3388557125557,14.3561869715842,14.372533648598,14.3878903908841,14.4022511504344,14.4156093356073,14.4279579562892
0.27,14.2759018170291,14.2984718219277,14.3200657544802,14.3406849486839,14.3603292002081,14.3789969447468,14.3966854313653,14.4133908904658,14.4291086960305,14.4438335218315,14.4575594913366,14.4702803210772
0.272,14.3144575234052,14.3373907699752,14.3593457645909,14.3803245683231,14.4003277066572,14.4193543465755,14.4374024685053,14.454469032778,14.4705501402721,14.4856411869504,14.4997370120367,14.5128320396153
0.274,14.3532178040091,14.3765171669161,14.3988360158433,14.4201771385671,14.4405417901135,14.4599298685916,14.4783400857665,14.4957701320339,14.5122168354881,14.5276763148111,14.5421441257443,14.5556154009459
0.276,14.3921843835254,14.415852784068,14.4385383271028,14.460244526854,14.4809733677258,14.5007254789075,14.5195003035939,14.5372962624976,14.5541109113655,14.5699410922428,14.5847830782655,14.5986327117985
0.278,14.431359003378,14.4553994097919,14.4784545345544,14.5005286181875,14.5216243744218,14.5417431635946,14.5608851605368,14.5790495166462,14.5962345158744,14.6124377243898,14.627656133713,14.6418862971606
